,epoch,load.txt.data.x,load.txt.data.y,load.txt.data.z
93695,2015-06-23 11:20:44.786,-0.8577423,9.490585,2.9094543
93697,2015-06-23 11:20:44.805,-0.86250305,9.452499,2.8677979
93699,2015-06-23 11:20:44.825,-0.8101349,9.401321,2.9118347
93701,2015-06-23 11:20:44.845,-0.8934479,9.370377,2.895172
93703,2015-06-23 11:20:44.865,-0.9993744,9.32634,2.9796753
93705,2015-06-23 11:20:44.885,-1.1053009,9.307297,2.9856262
93707,2015-06-23 11:20:44.904,-1.2386017,9.369186,2.9546814
93709,2015-06-23 11:20:44.924,-1.2635956,9.429886,2.9999084
93711,2015-06-23 11:20:44.944,-1.2647858,9.471542,2.94635
93713,2015-06-23 11:20:44.964,-1.2207489,9.501297,2.9511108
93715,2015-06-23 11:20:44.984,-1.2017059,9.540573,2.9511108
93717,2015-06-23 11:20:45.005,-1.1231537,9.571518,2.895172
93719,2015-06-23 11:20:45.025,-1.0874481,9.589371,2.8285217
93721,2015-06-23 11:20:45.045,-1.0410309,9.588181,2.7832947
93723,2015-06-23 11:20:45.063,-1.0338898,9.614365,2.7309265
93725,2015-06-23 11:20:45.085,-1.002945,9.666733,2.7642517
93727,2015-06-23 11:20:45.104,-0.9565277,9.65126,2.7440186
93729,2015-06-23 11:20:45.125,-0.90534973,9.588181,2.7095032
93731,2015-06-23 11:20:45.144,-0.881546,9.52272,2.7547302
93733,2015-06-23 11:20:45.164,-0.87797546,9.512009,2.7797241
93735,2015-06-23 11:20:45.184,-0.8601227,9.463211,2.7951965
93737,2015-06-23 11:20:45.203,-0.9017792,9.416794,2.7392578
93739,2015-06-23 11:20:45.224,-0.91130066,9.415604,2.6964111
93741,2015-06-23 11:20:45.243,-0.96009827,9.495346,2.7297363
93743,2015-06-23 11:20:45.263,-0.9981842,9.561996,2.7690125
93745,2015-06-23 11:20:45.283,-1.0184174,9.592941,2.6845093
93747,2015-06-23 11:20:45.303,-1.0886383,9.606033,2.7440186
93749,2015-06-23 11:20:45.323,-1.0898285,9.620316,2.6987915
93751,2015-06-23 11:20:45.344,-1.0505524,9.579849,2.746399
93753,2015-06-23 11:20:45.362,-1.0065155,9.516769,2.7202148
93755,2015-06-23 11:20:45.384,-0.9672394,9.498917,2.7428284
93757,2015-06-23 11:20:45.403,-0.9672394,9.548904,2.8273315
93759,2015-06-23 11:20:45.424,-1.0005646,9.636978,2.830902
93761,2015-06-23 11:20:45.443,-1.0446014,9.672684,2.7773438
93763,2015-06-23 11:20:45.463,-1.0362701,9.6393585,2.7928162
93765,2015-06-23 11:20:45.483,-1.0981598,9.594131,2.7797241
93767,2015-06-23 11:20:45.503,-1.1148224,9.52272,2.8927917
93769,2015-06-23 11:20:45.523,-1.150528,9.451309,2.9618225
93771,2015-06-23 11:20:45.542,-1.1802826,9.345383,2.9344482
93773,2015-06-23 11:20:45.562,-1.2778778,9.173996,3.0784607
93775,2015-06-23 11:20:45.582,-1.407608,9.101395,3.1415405
93777,2015-06-23 11:20:45.602,-1.381424,9.258499,3.1153564
93779,2015-06-23 11:20:45.622,-1.4230804,9.502487,2.977295
93781,2015-06-23 11:20:45.642,-1.4540253,9.58342,3.0022888
93783,2015-06-23 11:20:45.663,-1.477829,9.388229,3.0582275
93785,2015-06-23 11:20:45.683,-1.298111,8.74791,2.682129
93787,2015-06-23 11:20:45.703,-1.3671417,8.1254425,2.0049133
93789,2015-06-23 11:20:45.723,-1.7039642,7.762436,0.95755005
93791,2015-06-23 11:20:45.743,-0.65541077,8.181381,1.0706177
93793,2015-06-23 11:20:45.763,1.0977325,10.618881,2.8594666
93795,2015-06-23 11:20:45.782,0.43241882,12.832626,3.2688904
93797,2015-06-23 11:20:45.802,-0.28050232,13.257523,1.393158
93799,2015-06-23 11:20:45.822,-0.8910675,12.774307,-0.29214478
93801,2015-06-23 11:20:45.842,-2.074112,10.910477,0.098236084
93803,2015-06-23 11:20:45.861,-2.690628,8.926437,1.476471
93805,2015-06-23 11:20:45.882,-2.272873,7.956436,2.2703247
93807,2015-06-23 11:20:45.901,-1.7122955,8.073074,2.3774414
93809,2015-06-23 11:20:45.921,-1.2052765,8.865738,1.8561401
93811,2015-06-23 11:20:45.941,-0.8982086,9.45369,1.4169617
93813,2015-06-23 11:20:45.961,-0.8851166,9.525101,1.1694031
93815,2015-06-23 11:20:45.982,-1.2683563,8.996658,1.2420044
93817,2015-06-23 11:20:46.002,-1.772995,8.641983,1.4657593
93819,2015-06-23 11:20:46.022,-1.9503326,9.003799,1.3288879
93821,2015-06-23 11:20:46.042,-1.74086,9.716721,1.0622864
93823,2015-06-23 11:20:46.062,-1.5278168,10.134476,0.5171814
93825,2015-06-23 11:20:46.082,-1.3195343,9.994034,0.51123047
93827,2015-06-23 11:20:46.101,-1.3695221,10.264206,0.4433899
93829,2015-06-23 11:20:46.121,-1.792038,10.6772,0.42910767
93831,2015-06-23 11:20:46.141,-3.094101,10.846207,4.204376
93833,2015-06-23 11:20:46.161,-1.4123688,13.30751,6.2276917
93835,2015-06-23 11:20:46.181,-2.176468,16.538864,6.2919617
93837,2015-06-23 11:20:46.200,-2.1240997,13.793106,3.3462524
93839,2015-06-23 11:20:46.221,-1.8848724,9.917862,3.285553
93841,2015-06-23 11:20:46.240,-1.3278656,7.3696747,5.1696167
